timestamp,tank,phase,level_m,volume_m3,status,inflow_m3,outflow_m3
2026-05-06 02:15:00,TK-05,二期,19.971441383350278,111204.78489262336,备用,0.0,0.0
2026-05-06 02:15:00,TK-06,二期,19.970745232225482,111200.90859072808,备用,0.0,0.0
2026-05-06 02:30:00,TK-01,一期,19.983664542036053,100448.8539473013,备用,0.0,0.0
2026-05-06 02:30:00,TK-02,一期,19.967071014604052,100365.44578109727,外输,0.0,83.41537039790855
2026-05-06 02:30:00,TK-03,一期,19.9670784082233,100365.48294548113,备用,0.0,0.0
2026-05-06 02:30:00,TK-04,一期,19.9678532757042,100369.37785425792,备用,0.0,0.0
2026-05-06 02:30:00,TK-05,二期,19.971441383350278,111204.78489262336,备用,0.0,0.0
2026-05-06 02:30:00,TK-06,二期,19.970745232225482,111200.90859072808,备用,0.0,0.0
2026-05-06 02:45:00,TK-01,一期,19.967064369403587,100365.41237867653,外输,0.0,83.4415686247601
2026-05-06 02:45:00,TK-02,一期,19.967071014604052,100365.44578109727,备用,0.0,0.0
2026-05-06 02:45:00,TK-03,一期,19.9670784082233,100365.48294548113,备用,0.0,0.0
2026-05-06 02:45:00,TK-04,一期,19.9678532757042,100369.37785425792,备用,0.0,0.0
2026-05-06 02:45:00,TK-05,二期,19.971441383350278,111204.78489262336,备用,0.0,0.0
2026-05-06 02:45:00,TK-06,二期,19.970745232225482,111200.90859072808,备用,0.0,0.0
2026-05-06 03:00:00,TK-01,一期,19.967064369403587,100365.41237867653,备用,0.0,0.0
2026-05-06 03:00:00,TK-02,一期,19.967071014604052,100365.44578109727,备用,0.0,0.0
2026-05-06 03:00:00,TK-03,一期,19.9670784082233,100365.48294548113,备用,0.0,0.0
2026-05-06 03:00:00,TK-04,一期,19.9678532757042,100369.37785425792,备用,0.0,0.0
2026-05-06 03:00:00,TK-05,二期,19.955529210153532,111116.18288520923,外输,0.0,88.6020074141325
2026-05-06 03:00:00,TK-06,二期,19.970745232225482,111200.90859072808,备用,0.0,0.0
2026-05-06 03:15:00,TK-01,一期,19.967064369403587,100365.41237867653,备用,0.0,0.0
2026-05-06 03:15:00,TK-02,一期,19.967071014604052,100365.44578109727,备用,0.0,0.0
2026-05-06 03:15:00,TK-03,一期,19.9670784082233,100365.48294548113,备用,0.0,0.0
2026-05-06 03:15:00,TK-04,一期,19.9678532757042,100369.37785425792,备用,0.0,0.0
2026-05-06 03:15:00,TK-05,二期,19.955529210153532,111116.18288520923,备用,0.0,0.0
2026-05-06 03:15:00,TK-06,二期,19.954826871217147,111112.27212840189,外输,0.0,88.63646232618983
2026-05-06 03:30:00,TK-01,一期,19.967064369403587,100365.41237867653,备用,0.0,0.0
2026-05-06 03:30:00,TK-02,一期,19.967071014604052,100365.44578109727,备用,0.0,0.0
